condition,rho,graph,N_star
disjoint,0.00,grid,200.75
disjoint,0.20,grid,177.04
disjoint,0.20,ring,1217.34
disjoint,0.30,grid,181.01
disjoint,0.30,ring,200.60
disjoint,0.40,grid,186.69
disjoint,0.40,ring,182.64
disjoint,0.50,grid,190.43
disjoint,0.50,ring,255.78
disjoint,0.60,grid,278.46
disjoint,0.60,ring,98.27
disjoint,0.70,grid,293.58
disjoint,0.70,ring,181.85
disjoint,0.80,grid,853.83
disjoint,0.80,ring,303.76
disjoint,1.00,ring,128.95
overlap,0.00,grid,174.93
overlap,0.20,grid,179.84
overlap,0.20,ring,1829.29
overlap,0.30,grid,177.49
overlap,0.30,ring,104.02
overlap,0.40,grid,186.50
overlap,0.40,ring,221.22
overlap,0.50,grid,187.76
overlap,0.50,ring,100.02
overlap,0.60,grid,244.88
overlap,0.60,ring,165.87
overlap,0.70,grid,258.07
overlap,0.70,ring,172.37
overlap,0.80,grid,890.48
overlap,0.80,ring,240.67
overlap,1.00,ring,99.70
